ticker,ccy,date,PX_LAST
BISBAUR Index,AUD,2005-07-31,88.51
BISBAUR Index,AUD,2005-08-31,88.5
BISBAUR Index,AUD,2005-09-30,88.81
BISBAUR Index,AUD,2005-10-31,88.32
BISBAUR Index,AUD,2005-11-30,87.25
BISBAUR Index,AUD,2005-12-31,87.7
BISBAUR Index,AUD,2006-01-31,87.23
BISBAUR Index,AUD,2006-02-28,86.87
BISBAUR Index,AUD,2006-03-31,85.48
BISBAUR Index,AUD,2006-04-30,85.95
BISBAUR Index,AUD,2006-05-31,87.76
BISBAUR Index,AUD,2006-06-30,86.32
BISBAUR Index,AUD,2006-07-31,87.92
BISBAUR Index,AUD,2006-08-31,88.71
BISBAUR Index,AUD,2006-09-30,87.97
BISBAUR Index,AUD,2006-10-31,88.01
BISBAUR Index,AUD,2006-11-30,88.94
BISBAUR Index,AUD,2006-12-31,88.94
BISBAUR Index,AUD,2007-01-31,89.16
BISBAUR Index,AUD,2007-02-28,88.6
BISBAUR Index,AUD,2007-03-31,89.15
BISBAUR Index,AUD,2007-04-30,92.31
BISBAUR Index,AUD,2007-05-31,92.13
BISBAUR Index,AUD,2007-06-30,94.35
BISBAUR Index,AUD,2007-07-31,95.82
BISBAUR Index,AUD,2007-08-31,91.77
BISBAUR Index,AUD,2007-09-30,92.7
BISBAUR Index,AUD,2007-10-31,97.11
BISBAUR Index,AUD,2007-11-30,95.36
BISBAUR Index,AUD,2007-12-31,93.16
BISBAUR Index,AUD,2008-01-31,93.29
BISBAUR Index,AUD,2008-02-29,95.75
BISBAUR Index,AUD,2008-03-31,95.22
BISBAUR Index,AUD,2008-04-30,95.31
BISBAUR Index,AUD,2008-05-31,98.08
BISBAUR Index,AUD,2008-06-30,98.57
BISBAUR Index,AUD,2008-07-31,99.25
BISBAUR Index,AUD,2008-08-31,93.48
BISBAUR Index,AUD,2008-09-30,88.2
BISBAUR Index,AUD,2008-10-31,76.38
BISBAUR Index,AUD,2008-11-30,74.96
BISBAUR Index,AUD,2008-12-31,75.43
BISBAUR Index,AUD,2009-01-31,76.35
BISBAUR Index,AUD,2009-02-28,74.76
BISBAUR Index,AUD,2009-03-31,77.04
BISBAUR Index,AUD,2009-04-30,81.27
BISBAUR Index,AUD,2009-05-31,85.4
BISBAUR Index,AUD,2009-06-30,88.77
BISBAUR Index,AUD,2009-07-31,89.07
BISBAUR Index,AUD,2009-08-31,91.74
BISBAUR Index,AUD,2009-09-30,93.47
BISBAUR Index,AUD,2009-10-31,97.29
BISBAUR Index,AUD,2009-11-30,98.21
BISBAUR Index,AUD,2009-12-31,97.16
BISBAUR Index,AUD,2010-01-31,98.88
BISBAUR Index,AUD,2010-02-28,97.06
BISBAUR Index,AUD,2010-03-31,99.69
BISBAUR Index,AUD,2010-04-30,101.21
BISBAUR Index,AUD,2010-05-31,97
BISBAUR Index,AUD,2010-06-30,96.13
BISBAUR Index,AUD,2010-07-31,97
BISBAUR Index,AUD,2010-08-31,98.62
BISBAUR Index,AUD,2010-09-30,101.43
BISBAUR Index,AUD,2010-10-31,103.13
BISBAUR Index,AUD,2010-11-30,104.13
BISBAUR Index,AUD,2010-12-31,105.73
BISBAUR Index,AUD,2011-01-31,105.4
BISBAUR Index,AUD,2011-02-28,105.94
BISBAUR Index,AUD,2011-03-31,105.4
BISBAUR Index,AUD,2011-04-30,108.72
BISBAUR Index,AUD,2011-05-31,109.52
BISBAUR Index,AUD,2011-06-30,108.74
BISBAUR Index,AUD,2011-07-31,110.06
BISBAUR Index,AUD,2011-08-31,106.72
BISBAUR Index,AUD,2011-09-30,105.6
BISBAUR Index,AUD,2011-10-31,105.02
BISBAUR Index,AUD,2011-11-30,105.19
BISBAUR Index,AUD,2011-12-31,106.21
BISBAUR Index,AUD,2012-01-31,108.63
BISBAUR Index,AUD,2012-02-29,110.49
BISBAUR Index,AUD,2012-03-31,108.72
BISBAUR Index,AUD,2012-04-30,106.66
BISBAUR Index,AUD,2012-05-31,104.32
BISBAUR Index,AUD,2012-06-30,106.15
BISBAUR Index,AUD,2012-07-31,110.35
BISBAUR Index,AUD,2012-08-31,111.57
BISBAUR Index,AUD,2012-09-30,109.01
BISBAUR Index,AUD,2012-10-31,107.47
BISBAUR Index,AUD,2012-11-30,109.03
BISBAUR Index,AUD,2012-12-31,109.15
BISBAUR Index,AUD,2013-01-31,109.75
BISBAUR Index,AUD,2013-02-28,107.98
BISBAUR Index,AUD,2013-03-31,109.34
BISBAUR Index,AUD,2013-04-30,109.69
BISBAUR Index,AUD,2013-05-31,105.07
BISBAUR Index,AUD,2013-06-30,100.56
BISBAUR Index,AUD,2013-07-31,98.64
BISBAUR Index,AUD,2013-08-31,97.08
BISBAUR Index,AUD,2013-09-30,99.5
BISBAUR Index,AUD,2013-10-31,101.06
BISBAUR Index,AUD,2013-11-30,99.88
BISBAUR Index,AUD,2013-12-31,96.42
BISBAUR Index,AUD,2014-01-31,95.55
BISBAUR Index,AUD,2014-02-28,96.47
BISBAUR Index,AUD,2014-03-31,97.5
BISBAUR Index,AUD,2014-04-30,99.83
BISBAUR Index,AUD,2014-05-31,99.63
BISBAUR Index,AUD,2014-06-30,100.63
BISBAUR Index,AUD,2014-07-31,100.85
BISBAUR Index,AUD,2014-08-31,100.61
BISBAUR Index,AUD,2014-09-30,99.1
BISBAUR Index,AUD,2014-10-31,97.03
BISBAUR Index,AUD,2014-11-30,97.16
BISBAUR Index,AUD,2014-12-31,93.93
BISBAUR Index,AUD,2015-01-31,93.73
BISBAUR Index,AUD,2015-02-28,90.77
BISBAUR Index,AUD,2015-03-31,91.34
BISBAUR Index,AUD,2015-04-30,90.87
BISBAUR Index,AUD,2015-05-31,92.41
BISBAUR Index,AUD,2015-06-30,91.01
BISBAUR Index,AUD,2015-07-31,88.3
BISBAUR Index,AUD,2015-08-31,87.97
BISBAUR Index,AUD,2015-09-30,85.54
BISBAUR Index,AUD,2015-10-31,86.93
BISBAUR Index,AUD,2015-11-30,87.68
BISBAUR Index,AUD,2015-12-31,88.91
BISBAUR Index,AUD,2016-01-31,86.93
BISBAUR Index,AUD,2016-02-29,86.86
BISBAUR Index,AUD,2016-03-31,90.24
BISBAUR Index,AUD,2016-04-30,91.06
BISBAUR Index,AUD,2016-05-31,87.61
BISBAUR Index,AUD,2016-06-30,88.71
BISBAUR Index,AUD,2016-07-31,91.04
BISBAUR Index,AUD,2016-08-31,91.54
BISBAUR Index,AUD,2016-09-30,91.17
BISBAUR Index,AUD,2016-10-31,92.62
BISBAUR Index,AUD,2016-11-30,93.25
BISBAUR Index,AUD,2016-12-31,92.43
BISBAUR Index,AUD,2017-01-31,93.39
BISBAUR Index,AUD,2017-02-28,95.16
BISBAUR Index,AUD,2017-03-31,94.67
BISBAUR Index,AUD,2017-04-30,92.94
BISBAUR Index,AUD,2017-05-31,91.2
BISBAUR Index,AUD,2017-06-30,91.97
BISBAUR Index,AUD,2017-07-31,94.46
BISBAUR Index,AUD,2017-08-31,94.76
BISBAUR Index,AUD,2017-09-30,94.68
BISBAUR Index,AUD,2017-10-31,93.51
BISBAUR Index,AUD,2017-11-30,91.57
BISBAUR Index,AUD,2017-12-31,91.31
BISBAUR Index,AUD,2018-01-31,92.95
BISBAUR Index,AUD,2018-02-28,90.76
BISBAUR Index,AUD,2018-03-31,89.66
BISBAUR Index,AUD,2018-04-30,88.89
BISBAUR Index,AUD,2018-05-31,88.7
BISBAUR Index,AUD,2018-06-30,89.33
BISBCAR Index,CAD,1994-01-31,88.51
BISBCAR Index,CAD,1994-02-28,85.54
BISBCAR Index,CAD,1994-03-31,83.65
BISBCAR Index,CAD,1994-04-30,82.32
BISBCAR Index,CAD,1994-05-31,81.95
BISBCAR Index,CAD,1994-06-30,81.56
BISBCAR Index,CAD,1994-07-31,81.22
BISBCAR Index,CAD,1994-08-31,81.19
BISBCAR Index,CAD,1994-09-30,82.23
BISBCAR Index,CAD,1994-10-31,81.97
BISBCAR Index,CAD,1994-11-30,81.53
BISBCAR Index,CAD,1994-12-31,80.66
BISBCAR Index,CAD,1995-01-31,79.5
BISBCAR Index,CAD,1995-02-28,80.05
BISBCAR Index,CAD,1995-03-31,79.05
BISBCAR Index,CAD,1995-04-30,79.83
BISBCAR Index,CAD,1995-05-31,80.83
BISBCAR Index,CAD,1995-06-30,79.61
BISBCAR Index,CAD,1995-07-31,80.79
BISBCAR Index,CAD,1995-08-31,81.51
BISBCAR Index,CAD,1995-09-30,82.08
BISBCAR Index,CAD,1995-10-31,81.92
BISBCAR Index,CAD,1995-11-30,82.04
BISBCAR Index,CAD,1995-12-31,81.01
BISBCAR Index,CAD,1996-01-31,81.05
BISBCAR Index,CAD,1996-02-29,80.31
BISBCAR Index,CAD,1996-03-31,80.93
BISBCAR Index,CAD,1996-04-30,81.22
BISBCAR Index,CAD,1996-05-31,80.76
BISBCAR Index,CAD,1996-06-30,81.02
BISBCAR Index,CAD,1996-07-31,80.63
BISBCAR Index,CAD,1996-08-31,80.1
BISBCAR Index,CAD,1996-09-30,80.21
BISBCAR Index,CAD,1996-10-31,81.44
BISBCAR Index,CAD,1996-11-30,82.34
BISBCAR Index,CAD,1996-12-31,81.05
BISBCAR Index,CAD,1997-01-31,82.03
BISBCAR Index,CAD,1997-02-28,82.18
BISBCAR Index,CAD,1997-03-31,81.3
BISBCAR Index,CAD,1997-04-30,79.86
BISBCAR Index,CAD,1997-05-31,80.48
BISBCAR Index,CAD,1997-06-30,80.17
BISBCAR Index,CAD,1997-07-31,80.86
BISBCAR Index,CAD,1997-08-31,80.53
BISBCAR Index,CAD,1997-09-30,80.49
BISBCAR Index,CAD,1997-10-31,80.42
BISBCAR Index,CAD,1997-11-30,79.19
BISBCAR Index,CAD,1997-12-31,79.3
BISBCAR Index,CAD,1998-01-31,79.5
BISBCAR Index,CAD,1998-02-28,79.32
BISBCAR Index,CAD,1998-03-31,80.21
BISBCAR Index,CAD,1998-04-30,79.14
BISBCAR Index,CAD,1998-05-31,78.54
BISBCAR Index,CAD,1998-06-30,77.96
BISBCAR Index,CAD,1998-07-31,76.88
BISBCAR Index,CAD,1998-08-31,74.68
BISBCAR Index,CAD,1998-09-30,74.38
BISBCAR Index,CAD,1998-10-31,72.64
BISBCAR Index,CAD,1998-11-30,72.81
BISBCAR Index,CAD,1998-12-31,72.27
BISBCAR Index,CAD,1999-01-31,73.34
BISBCAR Index,CAD,1999-02-28,74.83
BISBCAR Index,CAD,1999-03-31,74.31
BISBCAR Index,CAD,1999-04-30,75.6
BISBCAR Index,CAD,1999-05-31,77.3
BISBCAR Index,CAD,1999-06-30,77.2
BISBCAR Index,CAD,1999-07-31,76.23
BISBCAR Index,CAD,1999-08-31,75.55
BISBCAR Index,CAD,1999-09-30,76.07
BISBCAR Index,CAD,1999-10-31,75.93
BISBCAR Index,CAD,1999-11-30,76.47
BISBCAR Index,CAD,1999-12-31,76.12
BISBCAR Index,CAD,2000-01-31,77.08
BISBCAR Index,CAD,2000-02-29,77.42
BISBCAR Index,CAD,2000-03-31,77.05
BISBCAR Index,CAD,2000-04-30,76.5
BISBCAR Index,CAD,2000-05-31,75.87
BISBCAR Index,CAD,2000-06-30,76.7
BISBCAR Index,CAD,2000-07-31,76.83
BISBCAR Index,CAD,2000-08-31,76.67
BISBCAR Index,CAD,2000-09-30,76.8
BISBCAR Index,CAD,2000-10-31,75.78
BISBCAR Index,CAD,2000-11-30,74.53
BISBCAR Index,CAD,2000-12-31,75.25
BISBCAR Index,CAD,2001-01-31,75.65
BISBCAR Index,CAD,2001-02-28,74.96
BISBCAR Index,CAD,2001-03-31,73.65
BISBCAR Index,CAD,2001-04-30,74.09
BISBCAR Index,CAD,2001-05-31,75.26
BISBCAR Index,CAD,2001-06-30,76.27
BISBCAR Index,CAD,2001-07-31,76.18
BISBCAR Index,CAD,2001-08-31,75.12
BISBCAR Index,CAD,2001-09-30,73.65
BISBCAR Index,CAD,2001-10-31,73.33
BISBCAR Index,CAD,2001-11-30,71.8
BISBCAR Index,CAD,2001-12-31,72.94
BISBCAR Index,CAD,2002-01-31,72.13
BISBCAR Index,CAD,2002-02-28,72.72
BISBCAR Index,CAD,2002-03-31,73.16
BISBCAR Index,CAD,2002-04-30,73.4
BISBCAR Index,CAD,2002-05-31,74.68
BISBCAR Index,CAD,2002-06-30,75.38
BISBCAR Index,CAD,2002-07-31,74.65
BISBCAR Index,CAD,2002-08-31,73.84
BISBCAR Index,CAD,2002-09-30,73.53
BISBCAR Index,CAD,2002-10-31,73.62
BISBCAR Index,CAD,2002-11-30,73.79
BISBCAR Index,CAD,2002-12-31,74.01
BISBCAR Index,CAD,2003-01-31,74.83
BISBCAR Index,CAD,2003-02-28,76.36
BISBCAR Index,CAD,2003-03-31,78.15
BISBCAR Index,CAD,2003-04-30,78.3
BISBCAR Index,CAD,2003-05-31,82.05
BISBCAR Index,CAD,2003-06-30,83.77
BISBCAR Index,CAD,2003-07-31,82.5
BISBCAR Index,CAD,2003-08-31,81.73
BISBCAR Index,CAD,2003-09-30,83.22
BISBCAR Index,CAD,2003-10-31,84.98
BISBCAR Index,CAD,2003-11-30,86.07
BISBCAR Index,CAD,2003-12-31,85.58
BISBCAR Index,CAD,2004-01-31,85.92
BISBCAR Index,CAD,2004-02-29,83.52
BISBCAR Index,CAD,2004-03-31,83.73
BISBCAR Index,CAD,2004-04-30,83.16
BISBCAR Index,CAD,2004-05-31,81.63
BISBCAR Index,CAD,2004-06-30,82.43
BISBCAR Index,CAD,2004-07-31,84.57
BISBCAR Index,CAD,2004-08-31,84.92
BISBCAR Index,CAD,2004-09-30,86.39
BISBCAR Index,CAD,2004-10-31,88.69
BISBCAR Index,CAD,2004-11-30,92.14
BISBCAR Index,CAD,2004-12-31,89.94
BISBCAR Index,CAD,2005-01-31,89.49
BISBCAR Index,CAD,2005-02-28,88.22
BISBCAR Index,CAD,2005-03-31,89.72
BISBCAR Index,CAD,2005-04-30,88.44
BISBCAR Index,CAD,2005-05-31,87.26
BISBCAR Index,CAD,2005-06-30,88.94
BISBCAR Index,CAD,2005-07-31,90.39
BISBCAR Index,CAD,2005-08-31,91.25
