,Strategy,
1994-11-28 00:00:00,0.001592415,
1994-11-29 00:00:00,0.001474772,
1994-11-30 00:00:00,0.004249339,
1994-12-01 00:00:00,0.002560839,
1994-12-02 00:00:00,0.006295901,
1994-12-05 00:00:00,-0.000310878,
1994-12-06 00:00:00,-0.001362763,
1994-12-07 00:00:00,3.46702E-05,
1994-12-08 00:00:00,0.001544802,
1994-12-09 00:00:00,0.00020618,
1994-12-12 00:00:00,-0.002766404,
1994-12-13 00:00:00,0.001615832,
1994-12-14 00:00:00,-0.001770451,
1994-12-15 00:00:00,0.002500257,
1994-12-16 00:00:00,-0.000857683,
1994-12-19 00:00:00,-0.000585688,
1994-12-20 00:00:00,0.000420625,
1994-12-21 00:00:00,0.000169693,
1994-12-22 00:00:00,0.003106498,
1994-12-23 00:00:00,-0.000707366,
1994-12-26 00:00:00,0.000273102,
1994-12-27 00:00:00,7.42158E-05,
1994-12-28 00:00:00,-0.001518355,
1994-12-29 00:00:00,-0.008168034,
1994-12-30 00:00:00,-0.000471586,
1995-01-02 00:00:00,0.001460786,
1995-01-03 00:00:00,0.00454423,
1995-01-04 00:00:00,0.005020728,
1995-01-05 00:00:00,-0.003976574,
1995-01-06 00:00:00,0.002047964,
1995-01-09 00:00:00,-0.008192978,
1995-01-10 00:00:00,-0.004016037,
1995-01-11 00:00:00,-0.000880854,
1995-01-12 00:00:00,-0.00469021,
1995-01-13 00:00:00,-0.000291146,
1995-01-16 00:00:00,-0.001217082,
1995-01-17 00:00:00,0.001047597,
1995-01-18 00:00:00,-0.000454239,
1995-01-19 00:00:00,0.002285829,
1995-01-20 00:00:00,-0.002546796,
1995-01-23 00:00:00,0.001698127,
1995-01-24 00:00:00,0.002365492,
1995-01-25 00:00:00,-0.000310239,
1995-01-26 00:00:00,-0.002446037,
1995-01-27 00:00:00,-0.000622069,
1995-01-30 00:00:00,-0.005526462,
1995-01-31 00:00:00,0.009434758,
1995-02-01 00:00:00,-0.000929392,
1995-02-02 00:00:00,0.001905897,
